oslaua,f_healthy_weight,f_overweight,f_obese,weighted_sample,fat,sugar,protein,carb,fibre,alcohol
E09000001,36.5,30.5,31.4,20,8.472984543,9.278065074,5.253333285,15.77963917,1.619850069,0.340719386
E09000002,33.4,31.9,31.6,409,9.209958879,10.79324445,5.193871612,19.78498758,1.590335253,0.202540344
E09000003,42.1,35.2,20.5,862,8.594464256,9.530548061,5.129627022,17.02594999,1.638638886,0.227760962
E09000004,33.5,43.1,23,589,9.119179509,10.94108504,5.304495884,19.99710463,1.657118424,0.201324927
E09000005,43.9,34.9,19.5,712,8.962466234,10.14861004,5.132914602,18.72647618,1.58597828,0.20675658
E09000006,34.3,43.8,21.2,743,9.123054405,11.2187368,5.226794876,19.17552821,1.629871844,0.273348876
E09000007,48.2,36.4,13.7,537,8.801149089,9.426070542,5.234501882,16.30647037,1.633295465,0.274655182
E09000008,36.6,37.7,24.3,858,9.09333001,10.96937328,5.175919286,19.01623094,1.599581553,0.224621487
E09000009,42.1,39,18.2,807,9.012152464,9.602237996,5.368475104,17.21320654,1.651457854,0.234213916
E09000010,33.3,37.8,26.4,727,8.890418668,9.947048603,5.480698946,18.56756378,1.565852854,0.225593076
E09000011,34,40.8,23.6,621,8.930749309,9.763084613,5.360270172,18.36607087,1.577789732,0.244098153
E09000012,49.9,32.8,15.9,555,8.946847789,9.694130421,5.273588987,17.7524421,1.569076133,0.228305274
E09000013,50,36.3,13.3,458,8.885619014,8.911438172,5.509827375,16.0769947,1.630477613,0.254459181
E09000014,40.6,40.2,18.8,576,9.040818192,9.371023184,5.41492036,17.46751386,1.612258998,0.245102296
E09000015,37.2,38.3,20.8,569,8.765161779,10.05111426,5.008822079,18.35106028,1.618491347,0.20592188
E09000016,36.1,41,22.3,615,9.250358474,11.4554781,5.375219501,20.25052,1.681965824,0.201048365
E09000017,32.6,43.5,23.7,650,8.830852128,10.15458203,5.312310364,18.09265655,1.597778172,0.265565006
E09000018,35.4,41,21.8,628,9.263180991,10.39952129,5.283108261,18.08525394,1.684657973,0.233290668
E09000019,44.4,33.2,20.5,523,8.796319996,9.433484639,5.429345534,16.86152229,1.608168233,0.28268173
E09000020,52.8,34.7,11.2,418,8.650872744,8.645323055,5.394421921,15.73052384,1.610101799,0.281890031
E09000021,44.4,40.5,14.6,398,9.293907218,10.97042086,5.355681155,18.74721733,1.743737672,0.235684669
E09000022,45.1,37.4,14.4,733,8.715066665,9.299810165,5.436347217,17.20133446,1.588734811,0.256282363
E09000023,38.6,37.7,23.6,653,8.799224306,9.764507414,5.365823135,18.05607139,1.576868164,0.244745844
E09000024,41.3,40.3,18,483,8.937439465,10.25067665,5.232353442,17.49878218,1.643266368,0.27802993
E09000025,38.6,36.8,20,711,9.360891865,10.62147657,4.983205758,19.27922006,1.530124979,0.183138123
E09000026,42,34.9,20.5,673,9.318002231,10.37332074,5.249971016,18.76664377,1.624574195,0.227181905
E09000027,51.5,35.5,12.1,454,9.154100855,9.726032973,5.402339905,16.81712301,1.693305883,0.303476615
E09000028,41.1,35.8,20.6,690,8.633918149,9.236214936,5.524870612,17.62668205,1.589221385,0.243029555
E09000029,37.1,38.1,24.4,476,9.358356033,11.62911818,5.207299365,19.75648745,1.701308116,0.223267143
E09000030,48.8,33.6,13.6,606,9.00421427,10.2250527,5.272859835,18.50622957,1.602582718,0.199318633
E09000031,44.4,37.5,17.1,603,9.074566803,9.795518418,5.405861996,18.29320956,1.573718177,0.236916572
E09000032,46.5,37.6,14.7,790,8.808393782,9.525601047,5.354923218,16.9418386,1.612136887,0.285699515
E09000033,45.9,34.8,17.9,561,8.729807287,9.44594341,5.245879281,16.79583812,1.579471235,0.219972718
